level_1_subdomain,count
news-and-data,427
alert-levels-and-updates,390
updates-and-resources,337
languages-and-resources,200
latest-updates,175
health-and-wellbeing,119
iwi-and-communities,117
traffic-lights,103
covid-19-vaccines,92
travel,75
prepare-and-stay-safe,65
help-and-advice,53
travel-and-the-border,50
individuals-and-households,42
business-and-money,39
international-travel,38
everyday-life,30
activities,30
about-our-covid-19-response,27
communities,27
covid-19,26
testing-and-tracing,25
business-work-and-money,24
alert-system,23
testing-and-isolation,21
resources,19
isolation-and-care,17
businesses-and-employees,16
how-were-uniting,11
community,10
about-this-site,10
government-actions,8
resources-and-translation,5
search,2
terms-of-use,2
contact-and-feedback,1
posters,1
translations,1
reconnecting-new-zealand-to-the-world,1
Security,1
preview,1
privacy,1
new-zealand-sign-language,1
current-phase-of-our-covid-19-response,1
,1
